manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI ALLRAD);7593;AGI;1968;100;2011;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI ALLRAD);7593;AGJ;1968;100;2011;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AFI;1968;103;2010;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AFL;1968;103;2010;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI ALLRAD);7593;AGK;1968;103;2011;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI ALLRAD);7593;AGL;1968;103;2011;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AFM;1968;125;2010;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AFN;1968;125;2010;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AHO;1968;130;2013;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AHP;1968;130;2013;2019;Diesel;2
Seat;Altea;5P (ALTEA/TOLEDO 1.6 TDI);7593;AGD;1598;66;2010;2015;Diesel;2
Seat;Altea;5P (ALTEA XL 1.6 TDI);7593;AHV;1598;66;2013;2015;Diesel;2
Seat;Toledo;NH (TOLEDO 1.6 TDI);7593;AII;1598;66;2013;2019;Diesel;2
Seat;Toledo;NH (TOLEDO 1.6 TDI);7593;AIH;1598;66;2013;2019;Diesel;2
Seat;Altea;5P (ALTEA/TOLEDO 1.6 TDI);7593;AEQ;1598;77;2010;2015;Diesel;2
Seat;Altea;5P (ALTEA / FREETRACK 1.6 TDI);7593;AHW;1598;77;2013;2015;Diesel;2
Seat;Toledo;NH (TOLEDO 1.6 TDI);7593;AHB;1598;77;2012;2019;Diesel;2
Seat;Toledo;NH (TOLEDO 1.6 TDI);7593;AGX;1598;77;2012;2019;Diesel;2
Seat;Exeo;3R (EXEO ST 2.0 TDI);7593;AEE;1968;88;2009;2014;Diesel;2
Seat;Exeo;3R (EXEO 2.0 TDI);7593;AED;1968;88;2009;2014;Diesel;2
Seat;Exeo;3R (EXEO ST 2.0 TDI);7593;AEA;1968;125;2009;2014;Diesel;2
Seat;Exeo;3R (EXEO ST 2.0 TDI);7593;ADZ;1968;105;2009;2014;Diesel;2
Seat;Exeo;3R (EXEO 2.0 TDI);7593;ADS;1968;125;2008;2014;Diesel;2
